Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Qty,Image Src,Status
Wireless Charging Pad,"<p>Fast 15W wireless charging pad with LED indicator. Compatible with all Qi-enabled devices.</p>",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"charging, wireless, tech, bestseller",true,Color,Black,NP-WCP-BLK,39.00,49.00,true,true,150,,active
Wireless Charging Pad,"",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"charging, wireless, tech, bestseller",true,Color,White,NP-WCP-WHT,39.00,49.00,true,true,120,,active
MagSafe Phone Grip,"<p>Slim magnetic phone grip with kickstand. Snaps on instantly, holds securely.</p>",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"phone, grip, magsafe, edc",true,Color,Midnight,NP-MPG-MID,24.00,,true,true,200,,active
MagSafe Phone Grip,"",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"phone, grip, magsafe, edc",true,Color,Silver,NP-MPG-SLV,24.00,,true,true,180,,active
USB-C Travel Hub,"<p>7-in-1 USB-C hub: HDMI 4K, 2x USB-A, SD/microSD, USB-C PD 100W pass-through.</p>",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"usb-c, hub, travel, laptop",true,Title,Default,NP-UCH-001,59.00,74.00,true,true,90,,active
Laptop Stand - Aluminum,"<p>Ergonomic aluminum laptop stand. Adjustable height, foldable for travel. Supports up to 17 inch laptops.</p>",NovaPulse,Electronics > Electronics Accessories,Desk & Workspace,"laptop, stand, ergonomic, desk",true,Title,Default,NP-LSA-001,79.00,99.00,true,true,75,,active
Noise-Canceling Earbuds,"<p>Active noise cancellation with 30hr battery life. IPX5 water resistant. Touch controls.</p>",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"earbuds, audio, anc, bestseller",true,Color,Matte Black,NP-NCE-BLK,89.00,119.00,true,true,100,,active
Noise-Canceling Earbuds,"",NovaPulse,Electronics > Electronics Accessories,Tech Accessories,"earbuds, audio, anc, bestseller",true,Color,Cloud White,NP-NCE-WHT,89.00,119.00,true,true,80,,active
Minimalist Wallet,"<p>RFID-blocking slim wallet. Holds 8 cards + cash. Premium vegan leather.</p>",NovaPulse,Apparel & Accessories > Handbags Wallets & Cases,Everyday Carry,"wallet, edc, rfid, minimalist",true,Color,Charcoal,NP-MW-CHL,34.00,,true,true,160,,active
Minimalist Wallet,"",NovaPulse,Apparel & Accessories > Handbags Wallets & Cases,Everyday Carry,"wallet, edc, rfid, minimalist",true,Color,Tan,NP-MW-TAN,34.00,,true,true,140,,active
Key Organizer,"<p>Compact key holder fits 2-7 keys. Aircraft-grade aluminum with S-clip attachment.</p>",NovaPulse,Apparel & Accessories > Handbags Wallets & Cases,Everyday Carry,"keys, organizer, edc",true,Title,Default,NP-KO-001,19.00,,true,true,250,,active
Insulated Water Bottle,"<p>24oz double-wall vacuum insulated. Keeps cold 24hrs, hot 12hrs. Leak-proof cap.</p>",NovaPulse,Home & Garden > Kitchen & Dining > Drinkware,Everyday Carry,"bottle, water, insulated, hydration",true,Color,Arctic Blue,NP-IWB-BLU,29.00,35.00,true,true,180,,active
Insulated Water Bottle,"",NovaPulse,Home & Garden > Kitchen & Dining > Drinkware,Everyday Carry,"bottle, water, insulated, hydration",true,Color,Onyx,NP-IWB-ONX,29.00,35.00,true,true,150,,active
Travel Pouch Set,"<p>Set of 3 water-resistant travel pouches. Small, medium, large. YKK zippers.</p>",NovaPulse,Luggage & Bags > Travel Accessories,Everyday Carry,"travel, pouch, organizer, set",true,Title,Default,NP-TPS-001,44.00,55.00,true,true,110,,active
LED Desk Lamp,"<p>Touch-dimming LED desk lamp with USB charging port. 5 color temperatures, memory function.</p>",NovaPulse,Home & Garden > Lighting,Desk & Workspace,"lamp, desk, led, lighting",true,Title,Default,NP-LDL-001,49.00,65.00,true,true,85,,active
Cable Management Kit,"<p>Complete desk cable organizer: 2 cable clips, 1 cable sleeve, 4 velcro ties.</p>",NovaPulse,Electronics > Electronics Accessories,Desk & Workspace,"cables, desk, organizer, tidy",true,Title,Default,NP-CMK-001,22.00,,true,true,200,,active
Mousepad XL,"<p>Extended desk mousepad (900x400mm). Micro-weave surface, non-slip rubber base.</p>",NovaPulse,Electronics > Electronics Accessories > Computer Accessories,Desk & Workspace,"mousepad, desk, gaming, xl",true,Color,Dark Grey,NP-MPD-GRY,28.00,,true,true,170,,active
Monitor Light Bar,"<p>Asymmetric LED monitor light. No screen glare, auto-dimming sensor. USB-C powered.</p>",NovaPulse,Home & Garden > Lighting,Desk & Workspace,"monitor, light, desk, ergonomic",true,Title,Default,NP-MLB-001,65.00,79.00,true,true,65,,active
Work From Home Bundle,"<p>Everything for your desk setup: Laptop Stand + LED Desk Lamp + Cable Management Kit + Mousepad XL. Save $29!</p>",NovaPulse,Electronics > Electronics Accessories,Bundles,"bundle, desk, wfh, deal, bestseller",true,Title,Default,NP-BDL-WFH,149.00,178.00,true,true,40,,active
Travel Essentials Kit,"<p>Travel smart: USB-C Hub + Travel Pouch Set + Insulated Water Bottle + MagSafe Grip. Save $27!</p>",NovaPulse,Luggage & Bags > Travel Accessories,Bundles,"bundle, travel, deal, kit",true,Title,Default,NP-BDL-TRV,99.00,126.00,true,true,50,,active
